FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
165063,AB,DS5-014-87,1987,7,24,0.1,N,Crown, 
165064,AB,DP1-009-88,1988,5,17,182,N,Crown, 
165065,AB,DP1-012-88,1988,6,14,1,H,Surface, 
165066,AB,DP1-013-88,1988,6,22,0.1,N,Surface, 
165067,AB,DP1-019-88,1988,8,29,0.1,N,Surface, 
165068,AB,DP1-018-89,1989,7,6,0.1,N,Surface, 
165069,AB,DP1-021-89,1989,7,18,0.5,N,Surface, 
165070,AB,DP1-023-89,1989,8,11,0.4,N,Surface, 
165071,AB,DP1-024-89,1989,8,13,0.6,N,Surface, 
165072,AB,DS5-004-89,1989,5,6,0.1,N,Crown, 
165073,AB,DS5-008-89,1989,7,18,0.1,N,Surface, 
165074,AB,DF1-060-90,1990,7,31,2,N,Crown, 
165075,AB,DF1-067-90,1990,7,31,0.1,N,Ground, 
165076,AB,DF1-070-90,1990,7,31,5.1,N,Surface, 
165077,AB,DF1-095-90,1990,8,12,0.1,N,Ground, 
165078,AB,DP1-006-90,1990,5,31,0.2,N,Surface, 
165079,AB,DP1-007-90,1990,5,31,0.1,N,Ground, 
165080,AB,DP1-008-90,1990,5,31,0.1,N,Surface, 
165081,AB,DP1-009-90,1990,6,4,5,N,Surface, 
165082,AB,DP1-012-90,1990,7,12,1033.9,N,Surface, 
165083,AB,DP1-014-90,1990,7,26,1,N,Crown, 
165084,AB,DP1-015-90,1990,7,26,0.1,N,Ground, 
165085,AB,DP1-019-90,1990,7,31,0.5,N,Crown, 
165086,AB,DP1-020-90,1990,7,31,0.5,N,Surface, 
165087,AB,DP1-024-90,1990,8,12,0.1,N,Ground, 
165088,AB,DP1-029-90,1990,8,18,0.1,N,Ground, 
165089,AB,DP1-034-90,1990,9,24,304.9,U,Crown, 
165090,AB,DP1-035-90,1990,9,30,1,H,Surface, 
165091,AB,DS5-013-90,1990,7,12,0.2,N,Surface, 
165092,AB,DS5-016-90,1990,7,12,0.1,N,Surface, 
165093,AB,DS5-017-90,1990,7,13,1,N,Surface, 
165094,AB,DS5-031-90,1990,7,31,0.1,N,Surface, 
165095,AB,DS5-041-90,1990,7,31,0.1,N,Surface, 
165096,AB,DS5-051-90,1990,8,12,0.2,N,Surface, 
165097,AB,DS5-056-90,1990,9,9,0.1,H,Ground, 
165098,AB,DF1-010-91,1991,6,25,2.2,N,Surface, 
165099,AB,DP1-006-91,1991,5,5,0.3,H,Surface, 
165100,AB,DP1-010-91,1991,5,19,0.1,N,Ground, 
165101,AB,DP1-012-91,1991,5,26,10,N,Crown, 
165102,AB,DP1-014-91,1991,5,30,0.1,N,Surface, 
165103,AB,DP1-021-91,1991,7,29,44.3,N,Crown, 
