FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1776,BC,55.5962999999999,-126.784,2023,7,10,2023-07-10,239.0,N,Fire,FUL
1777,BC,50.6604999999999,-116.9419,2023,7,12,2023-07-12,241.0,N,Fire,MOD
1778,BC,49.2462,-125.191,2023,8,28,2023-08-28,0.01,N,Fire,FUL
1779,BC,50.9915,-115.7957,2023,8,2,2023-08-02,0.78,N,Fire,MOD
1780,BC,53.5882999999999,-125.0908,2023,7,9,2023-07-09,0.009,N,Fire,FUL
1781,BC,50.9543,-116.9468,2023,7,21,2023-07-21,4.2,N,Fire,FUL
1782,BC,52.1235,-121.3619,2023,7,16,2023-07-16,0.009,N,Fire,FUL
1783,BC,55.3635999999999,-122.6027,2023,7,21,2023-07-21,0.009,N,Fire,FUL
1784,BC,58.503,-120.1198,2023,7,12,2023-07-12,0.0,N,Fire,MOD
1785,BC,58.4335,-121.7467,2023,6,25,2023-06-25,0.0,N,Fire,MON
1786,BC,53.2783999999999,-125.0631,2023,7,20,2023-07-20,0.1,N,Fire,FUL
1787,BC,50.5617999999999,-118.9866,2023,6,11,2023-06-11,0.009,N,Fire,FUL
1788,BC,49.9615999999999,-115.7306,2023,5,17,2023-05-17,0.01,N,Fire,FUL
1789,BC,52.3036999999999,-121.7223,2023,8,6,2023-08-06,0.06,N,Fire,FUL
1790,BC,50.7229,-119.1463,2023,8,21,2023-08-21,0.009,N,Fire,FUL
1791,BC,51.3228999999999,-119.0882,2023,7,11,2023-07-11,0.5,N,Fire,FUL
1792,BC,56.0769,-123.156899999999,2023,7,6,2023-07-06,12.0,N,Fire,MON
1793,BC,49.3616999999999,-124.752799999999,2023,8,28,2023-08-28,0.009,N,Fire,FUL
1794,BC,58.8847999999999,-125.2615,2023,10,12,2023-10-12,0.5,N,Fire,FUL
1795,BC,53.1139999999999,-127.599,2023,7,7,2023-07-07,512.0,U,Fire,MON
1796,BC,55.5737999999999,-127.2983,2023,7,31,2023-07-31,0.009,U,Fire,MOD
1797,BC,53.7537999999999,-125.9154,2023,7,6,2023-07-06,0.009,N,Fire,FUL
1798,BC,55.0563,-127.7595,2023,7,14,2023-07-14,0.2,N,Fire,FUL
1799,BC,57.429,-120.2001,2023,7,10,2023-07-10,6108.89999999999,N,Fire,MON
1800,BC,50.8248,-121.4475,2023,8,6,2023-08-06,0.2,N,Fire,FUL
1801,BC,53.7453999999999,-125.726299999999,2023,7,6,2023-07-06,0.1,N,Fire,FUL
1802,BC,53.4814999999999,-123.8472,2023,7,8,2023-07-08,2420.0,N,Fire,FUL
1803,BC,53.9091999999999,-121.826899999999,2023,7,20,2023-07-20,0.5,N,Fire,FUL
1804,BC,53.3614,-123.2043,2023,7,18,2023-07-18,5.35,N,Fire,FUL
1805,BC,54.1661,-127.152,2023,8,3,2023-08-03,0.009,N,Fire,FUL
1806,BC,55.9988,-122.3753,2023,7,6,2023-07-06,0.2,N,Fire,FUL
1807,BC,52.139,-118.505,2023,8,18,2023-08-18,0.009,N,Fire,FUL
1808,BC,54.2351999999999,-125.6435,2023,7,7,2023-07-07,8044.0,N,Fire,FUL
1809,BC,54.564,-125.3615,2023,7,15,2023-07-15,3.0,N,Fire,FUL
1810,BC,54.7916999999999,-122.6962,2023,7,20,2023-07-20,3.5,N,Fire,FUL
1811,BC,56.3721999999999,-124.744699999999,2023,6,4,2023-06-04,0.0,N,Fire,MON
1812,BC,52.2004999999999,-123.4805,2023,7,20,2023-07-20,1400.0,N,Fire,FUL
1813,BC,49.5255999999999,-119.8297,2023,7,21,2023-07-21,0.08,N,Fire,FUL
1814,BC,55.2293,-128.0856,2023,7,16,2023-07-16,0.1,N,Fire,FUL
1815,BC,50.9427,-119.1246,2023,7,24,2023-07-24,0.009,N,Fire,FUL
1816,BC,53.6572999999999,-121.069999999999,2023,7,18,2023-07-18,13.6,N,Fire,MOD
1817,BC,49.936,-119.5454,2023,5,18,2023-05-18,0.009,N,Fire,FUL
1818,BC,51.8333999999999,-118.4589,2023,7,9,2023-07-09,0.1,N,Fire,FUL
1819,BC,59.3449,-122.034899999999,2023,8,3,2023-08-03,0.0,N,Fire,MOD
1820,BC,49.4799,-119.2457,2023,8,6,2023-08-06,0.01,N,Fire,FUL
1821,BC,54.9795,-127.8425,2023,7,10,2023-07-10,0.003,N,Fire,MON
1822,BC,49.6595,-123.4469,2023,8,28,2023-08-28,0.009,N,Fire,FUL
1823,BC,52.6914999999999,-120.8283,2023,7,9,2023-07-09,43.71,N,Fire,MOD
1824,BC,54.4547,-125.2762,2023,7,7,2023-07-07,428.0,N,Fire,MOD
1825,BC,59.5247999999999,-126.6508,2023,6,23,2023-06-23,12107.2099999999,N,Fire,MON
1826,BC,53.2280999999999,-127.8515,2023,7,7,2023-07-07,100.0,N,Fire,MON
1827,BC,53.8772999999999,-127.1777,2023,7,7,2023-07-07,0.8,N,Fire,FUL
1828,BC,51.2059,-127.3575,2023,7,7,2023-07-07,8.3,N,Fire,MOD
1829,BC,54.1824999999999,-127.795,2023,7,7,2023-07-07,0.009,N,Fire,FUL
1830,BC,55.9074999999999,-129.3351,2023,7,26,2023-07-26,0.11,N,Fire,FUL
1831,BC,54.463,-121.5805,2023,7,21,2023-07-21,0.009,N,Fire,MOD
1832,BC,59.2849999999999,-121.343999999999,2023,8,30,2023-08-30,0.0,N,Fire,MON
