FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
146652,BC,55.1077,-127.786,2014,4,23,2014-04-23,1.1,H,Fire, 
146653,BC,55.2946,-127.668,2014,5,8,2014-05-08,0.5,H,Fire, 
146654,BC,55.1248999999999,-127.3325,2014,5,10,2014-05-10,0.4,H,Fire, 
146655,BC,55.2154999999999,-127.8131,2014,7,2,2014-07-02,0.009,N,Fire, 
146656,BC,55.097,-128.074099999999,2014,7,16,2014-07-16,0.02,H,Fire, 
146657,BC,55.3665999999999,-128.1167,2014,8,10,2014-08-10,0.009,H,Fire, 
146658,BC,55.0707999999999,-127.7921,2014,8,21,2014-08-21,0.009,N,Fire, 
146659,BC,55.218,-127.8461,2014,8,29,2014-08-29,0.1,N,Fire, 
146660,BC,54.6171,-128.3947,2014,4,21,2014-04-21,0.3,H,Fire, 
146661,BC,54.4996999999999,-128.5534,2014,5,7,2014-05-07,0.2,H,Fire, 
146662,BC,54.4624999999999,-128.5415,2014,7,2,2014-07-02,0.5,H,Fire, 
146663,BC,54.9712,-128.9716,2014,7,10,2014-07-10,0.1,H,Fire, 
146664,BC,54.4361,-128.4973,2014,7,15,2014-07-15,0.009,H,Fire, 
146665,BC,54.4904999999999,-128.4725,2014,7,29,2014-07-29,0.009,H,Fire, 
146666,BC,54.5127999999999,-128.3796,2014,8,22,2014-08-22,29.3999999999999,H,Fire, 
146667,BC,54.6937,-127.9897,2014,8,14,2014-08-14,0.3,N,Fire, 
146668,BC,54.8147,-129.219699999999,2014,8,21,2014-08-21,0.3,N,Fire, 
146669,BC,55.0334,-127.3458,2013,4,26,2013-04-26,0.009,H,Fire, 
146670,BC,55.1302999999999,-128.0042,2013,4,19,2013-04-19,0.009,H,Fire, 
146671,BC,55.2558,-127.6079,2013,4,23,2013-04-23,0.3,H,Fire, 
146672,BC,55.1321,-127.775099999999,2013,5,5,2013-05-05,3.3,H,Fire, 
146673,BC,55.1116999999999,-128.178,2013,6,16,2013-06-16,2.0,N,Fire, 
146674,BC,55.3937999999999,-127.8544,2013,6,24,2013-06-24,0.009,N,Fire, 
146675,BC,55.0994,-128.2131,2013,7,31,2013-07-31,0.009,N,Fire, 
146676,BC,54.9759999999999,-127.700999999999,2013,7,31,2013-07-31,3.4,N,Fire, 
146677,BC,55.3447999999999,-128.0362,2013,8,2,2013-08-02,10.0,N,Fire, 
146678,BC,55.1636,-128.1117,2013,8,1,2013-08-01,0.2,N,Fire, 
146679,BC,55.061,-127.791,2013,8,12,2013-08-12,0.1,N,Fire, 
146680,BC,55.3192999999999,-127.7779,2013,9,15,2013-09-15,0.9,N,Fire, 
146681,BC,55.4658,-128.798399999999,2013,4,19,2013-04-19,0.1,H,Fire, 
146682,BC,54.5050999999999,-128.3041,2013,5,4,2013-05-04,0.009,H,Fire, 
146683,BC,54.8648999999999,-128.8227,2013,6,15,2013-06-15,0.1,H,Fire, 
146684,BC,55.131,-129.0902,2013,6,15,2013-06-15,1.0,N,Fire, 
146685,BC,54.6051,-128.6527,2013,7,13,2013-07-13,0.1,H,Fire, 
146686,BC,54.4144999999999,-128.5258,2013,7,20,2013-07-20,0.009,H,Fire, 
146687,BC,54.5852,-128.645299999999,2013,7,22,2013-07-22,0.009,H,Fire, 
146688,BC,54.5974999999999,-128.6464,2013,7,22,2013-07-22,0.009,H,Fire, 
146689,BC,54.5345999999999,-128.586199999999,2013,7,23,2013-07-23,0.009,H,Fire, 
146690,BC,54.4198999999999,-128.6148,2013,8,1,2013-08-01,0.1,H,Fire, 
146691,BC,55.4365,-128.821699999999,2013,7,28,2013-07-28,0.3,N,Fire, 
146692,BC,54.8018,-128.2687,2013,8,28,2013-08-28,0.009,H,Fire, 
146693,BC,55.2862,-128.077699999999,2017,4,17,2017-04-17,0.6,H,Fire, 
146694,BC,55.2346,-128.047699999999,2017,4,23,2017-04-23,8.1,H,Fire, 
146695,BC,55.2496,-127.6674,2017,4,23,2017-04-23,6.2,H,Fire, 
146696,BC,55.0839,-120.0286,2014,7,7,2014-07-07,0.4,H,Fire, 
146697,BC,55.2558,-120.043499999999,2013,5,5,2013-05-05,0.6,H,Fire, 
146701,BC,55.1007,-122.9779,2014,6,1,2014-06-01,0.5,H,Fire, 
146702,BC,55.1929999999999,-123.1429,2014,8,9,2014-08-09,0.009,H,Fire, 
146703,BC,55.1045999999999,-122.9709,2014,8,29,2014-08-29,0.4,H,Fire, 
146704,BC,55.1323999999999,-122.964,2014,9,25,2014-09-25,0.1,H,Fire, 
146705,BC,54.2817999999999,-122.282,2014,6,13,2014-06-13,11.0,N,Fire, 
146706,BC,54.2682,-122.1979,2014,6,27,2014-06-27,0.009,N,Fire, 
146707,BC,53.8990999999999,-121.8729,2014,7,2,2014-07-02,0.01,N,Fire, 
146708,BC,55.0041999999999,-122.973,2014,7,2,2014-07-02,2.0,N,Fire, 
146709,BC,54.2672999999999,-122.1991,2014,6,27,2014-06-27,0.1,N,Fire, 
146710,BC,54.7597999999999,-122.7803,2014,7,15,2014-07-15,0.2,N,Fire, 
146711,BC,54.1557,-122.3481,2014,7,22,2014-07-22,0.044,N,Fire, 
146712,BC,53.9065999999999,-121.7303,2014,8,5,2014-08-05,0.009,N,Fire, 
146713,BC,54.3012999999999,-122.013499999999,2013,6,22,2013-06-22,0.2,N,Fire, 
146714,BC,54.2329,-122.1648,2013,8,3,2013-08-03,0.009,N,Fire, 
146715,BC,53.9791999999999,-122.071,2013,8,11,2013-08-11,0.3,N,Fire, 
